Precinct ID,County,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,Polling Location Contact Info,Authenticating Authority*,Date Authenticated*,Authority Contact Info,Address
1386970,Arapahoe,6263803160,6263803160,,,,,,,,,,1151 W Ida Ave Littleton CO 
1386970,Arapahoe,6263803160,6263803160,,,,,,,,,,5878 S Huron St Littleton CO 
1386973,Arapahoe,6263803163,6263803163,,,,,,,,,,6193 S Fairfield St Littleton CO 
1386973,Arapahoe,6263803163,6263803163,,,,,,,,,,90 E Orchard Rd Centennial CO 
1386975,Arapahoe,6263803165,6263803165,,,,,,,,,,805 W Peakview Cir Littleton CO 
1386975,Arapahoe,6263803165,6263803165,,,,,,,,,,6310 S Greenwood St Littleton CO 
1386976,Arapahoe,6263803166,6263803166,,,,,,,,,,482 W Caley Ave Littleton CO 
1386976,Arapahoe,6263803166,6263803166,,,,,,,,,,340 W Caley Dr Littleton CO 
1386977,Arapahoe,6263803167,6263803167,,,,,,,,,,6653 S Buffalo Dr Littleton CO 
1386977,Arapahoe,6263803167,6263803167,,,,,,,,,,200 W Sterne Pkwy Littleton CO 
1386978,Arapahoe,6263803168,6263803168,,,,,,,,,,7667 S Datura Cir Littleton CO 
1386978,Arapahoe,6263803168,6263803168,,,,,,,,,,1053 W Geddes Ave Littleton CO 
1386979,Arapahoe,6263803169,6263803169,,,,,,,,,,7100 S Broadway Littleton CO 
1386979,Arapahoe,6263803169,6263803169,,,,,,,,,,7120 S Broadway Littleton CO 
1386980,Arapahoe,6263803170,6263803170,,,,,,,,,,4695 W Mineral Dr Littleton CO 
1386980,Arapahoe,6263803170,6263803170,,,,,,,,,,4610 W Mineral Dr Littleton CO 
1386981,Arapahoe,6263803171,6263803171,,,,,,,,,,7813 S Windermere Cir Littleton CO 
1386981,Arapahoe,6263803171,6263803171,,,,,,,,,,7783 S Nevada Dr Littleton CO 
1386982,Arapahoe,6263803172,6263803172,,,,,,,,,,7720 S Foresthill Ct Littleton CO 
1386982,Arapahoe,6263803172,6263803172,,,,,,,,,,1421 W Dry Creek Rd Littleton CO 
1386983,Arapahoe,6263803173,6263803173,,,,,,,,,,8255 S Emerson Way Centennial CO 
1386983,Arapahoe,6263803173,6263803173,,,,,,,,,,944 E Phillips Ln Centennial CO 
1386984,Arapahoe,6263803174,6263803174,,,,,,,,,,1622 W Kettle Ave Littleton CO 
1386984,Arapahoe,6263803174,6263803174,,,,,,,,,,721 W Mineral Ave Littleton CO 
1386985,Arapahoe,6263803175,6263803175,,,,,,,,,,2559 W Long Cir Littleton CO 
1386985,Arapahoe,6263803175,6263803175,,,,,,,,,,2002 W Nantucket Ct Littleton CO 
1386986,Arapahoe,6263803176,6263803176,,,,,,,,,,2901 W Long Dr Littleton CO 
1386986,Arapahoe,6263803176,6263803176,,,,,,,,,,2902 W Long Cir Littleton CO 
1386988,Arapahoe,6273703226,6273703226,,,,,,,,,,6490 S Pontiac Ct Centennial CO 
1386988,Arapahoe,6273703226,6273703226,,,,,,,,,,6431 S Heritage Pl E Englewood CO 
1386989,Arapahoe,6273703227,6273703227,,,,,,,,,,5600 E Fair Ave Centennial CO 
1386989,Arapahoe,6273703227,6273703227,,,,,,,,,,6166 S Ivanhoe Ct Englewood CO 
1386990,Arapahoe,6273703228,6273703228,,,,,,,,,,6022 S Newport St Centennial CO 
1386990,Arapahoe,6273703228,6273703228,,,,,,,,,,6184 S Magnolia Ct Englewood CO 
1386995,Arapahoe,6273703233,6273703233,,,,,,,,,,7525 E Peakview Ave Centennial CO 
1386995,Arapahoe,6273703233,6273703233,,,,,,,,,,6565 S Syracuse Way Englewood CO 
1386997,Arapahoe,6273703235,6273703235,,,,,,,,,,7575 E Davies Ct Centennial CO 
1386997,Arapahoe,6273703235,6273703235,,,,,,,,,,7414 E Costilla Pl Centennial CO 
1386998,Arapahoe,6273703236,6273703236,,,,,,,,,,8822 E Briarwood Blvd Englewood CO 
1386998,Arapahoe,6273703236,6273703236,,,,,,,,,,7090 S Uinta St Englewood CO 
1386999,Arapahoe,6273703237,6273703237,,,,,,,,,,7452 E Easter Way Centennial CO 
1386999,Arapahoe,6273703237,6273703237,,,,,,,,,,7510 E Easter Pl Englewood CO 
1387000,Arapahoe,6273703238,6273703238,,,,,,,,,,7261 S Xenia Cir Centennial CO 
1387000,Arapahoe,6273703238,6273703238,,,,,,,,,,8360 E Hinsdale Ave Centennial CO 
1387001,Arapahoe,6273703239,6273703239,,,,,,,,,,7978 S Trenton St Centennial CO 
1387001,Arapahoe,6273703239,6273703239,,,,,,,,,,7853 S Ulster St Centennial CO 
1387002,Arapahoe,6273703240,6273703240,,,,,,,,,,8316 E Jamison Cir Centennial CO 
1387002,Arapahoe,6273703240,6273703240,,,,,,,,,,9019 E Panorama Cir Englewood CO 
1387003,Arapahoe,6273703241,6273703241,,,,,,,,,,8259 S Trenton Way Centennial CO 
1387003,Arapahoe,6273703241,6273703241,,,,,,,,,,7990 E Phillips Cir Englewood CO 
1387004,Arapahoe,6273703242,6273703242,,,,,,,,,,8085 S Willow Ct Englewood CO 
1387004,Arapahoe,6273703242,6273703242,,,,,,,,,,8590 E Nichols Ave Centennial CO 
1387005,Arapahoe,6273703243,6273703243,,,,,,,,,,10200 E Dry Creek Rd Englewood CO 
1387005,Arapahoe,6273703243,6273703243,,,,,,,,,,6780 S Galena St Centennial CO 
1387006,Arapahoe,6273703244,6273703244,,,,,,,,,,14301 E Arapahoe Rd Centennial CO 
1387006,Arapahoe,6273703244,6273703244,,,,,,,,,,13583 E Longview Ave Englewood CO 
1387102,Arapahoe,6283603340,6283603340,,,,,,,,,,22870 E Chenango Ave Aurora CO 
1387102,Arapahoe,6283603340,6283603340,,,,,,,,,,4762 S Riviera St Centennial CO 
1387103,Arapahoe,6283603341,6283603341,,,,,,,,,,4006 S Odessa St Aurora CO 
1387103,Arapahoe,6283603341,6283603341,,,,,,,,,,4052 S Nepal St Aurora CO 
1387104,Arapahoe,6283603342,6283603342,,,,,,,,,,22272 E Navarro Pl Aurora CO 
1387104,Arapahoe,6283603342,6283603342,,,,,,,,,,3782 S Shawnee Way Aurora CO 
1387139,Arapahoe,6284103431,6284103431,,,,,,,,,,1714 S Troy St Aurora CO 
1387139,Arapahoe,6284103431,6284103431,,,,,,,,,,1585 S Ursula Ct Aurora CO 
1387140,Arapahoe,6284103432,6284103432,,,,,,,,,,1243 S Uvalda St Aurora CO 
1387140,Arapahoe,6284103432,6284103432,,,,,,,,,,12431 E Louisiana Ave Aurora CO 
1387141,Arapahoe,6284103433,6284103433,,,,,,,,,,13294 E Kansas Dr Aurora CO 
1387141,Arapahoe,6284103433,6284103433,,,,,,,,,,1637 S Wheeling Cir Aurora CO 
1387145,Arapahoe,6284103437,6284103437,,,,,,,,,,15003 E Bails Pl Aurora CO 
1387145,Arapahoe,6284103437,6284103437,,,,,,,,,,15194 E Bails Pl Aurora CO 
1387146,Arapahoe,6284103438,6284103438,,,,,,,,,,14095 E Evans Ave Aurora CO 
1387146,Arapahoe,6284103438,6284103438,,,,,,,,,,2353 S Dillon St Denver CO 
1387147,Arapahoe,6284103439,6284103439,,,,,,,,,,14693 E Wesley Ave Aurora CO 
1387147,Arapahoe,6284103439,6284103439,,,,,,,,,,2500 S Fairplay Way Aurora CO 
1387246,Archuleta,3065904001,3065904001,,,,,,,,,,19 Pony Express Trl Pagosa S CO 
1387246,Archuleta,3065904001,3065904001,,,,,,,,,,19 Pony Express Trl Pagosa S CO 
1387247,Archuleta,3065904002,3065904002,,,,,,,,,,2801 County Road 400 Pagosa Springs CO 
1387247,Archuleta,3065904002,3065904002,,,,,,,,,,226 Lewis St Pagosa Springs CO 
1387248,Archuleta,3065904003,3065904003,,,,,,,,,,1038 Catchpole Dr Pagosa Springs CO 
1387248,Archuleta,3065904003,3065904003,,,,,,,,,,99 Paul-Hood Pl Pagosa Springs CO 
